name,abbreviation,mascot,espn_team_page,logo
Temple,TEMP,Owls,http://espn.go.com/college-football/team/_/id/218/temple-owls,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/218.gif
Tennessee,TENN,Volunteers,http://espn.go.com/college-football/team/_/id/2633/tennessee-volunteers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2633.gif
Texas,UT,Longhorns,http://espn.go.com/college-football/team/_/id/251/texas-longhorns,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/251.gif
Texas A&M,TAMU,Aggies,http://espn.go.com/college-football/team/_/id/245/texas-aggies,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/245.gif
Texas Tech,TTU,Red Raiders,http://espn.go.com/college-football/team/_/id/2641/texas-tech-red-raiders,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2641.gif
Toledo,TOLE,Rockets,http://espn.go.com/college-football/team/_/id/2649/toledo-rockets,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2649.gif
Troy,TROY,Trojans,http://espn.go.com/college-football/team/_/id/2653/troy-trojans,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2653.gif
Tulane,TULE,Green Wave,http://espn.go.com/college-football/team/_/id/2655/tulane-green-wave,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2655.gif
Tulsa,TULS,Golden Hurricane,http://espn.go.com/college-football/team/_/id/202/tulsa-golden-hurricane,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/202.gif
U of Alabama Birmingham,UAB,Blazers,http://espn.go.com/college-football/team/_/id/5/uab-blazers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/5.gif
U of Central Florida,UCF,Golden Knights,http://espn.go.com/college-football/team/_/id/2116/ucf-knights,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2116.gif
UCLA,UCLA,Bruins,http://espn.go.com/college-football/team/_/id/26/ucla-bruins,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/26.gif
UNLV,UNLV,Runnin Rebels,http://espn.go.com/college-football/team/_/id/2439/unlv-rebels,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2439.gif
Utah,UTAH,Utes,http://espn.go.com/college-football/team/_/id/254/utah-utes,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/254.gif
Utah State,UTST,Aggies,http://espn.go.com/college-football/team/_/id/328/utah-state-aggies,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/328.gif
UTEP,UTEP,Miners,http://espn.go.com/college-football/team/_/id/2638/utep-miners,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2638.gif
Vanderbilt,VAND,Commodores,http://espn.go.com/college-football/team/_/id/238/vanderbilt-commodores,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/238.gif
Virginia,UVA,Cavaliers,http://espn.go.com/college-football/team/_/id/258/virginia-cavaliers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/258.gif
Virginia Tech,VT,Hokies,http://espn.go.com/college-football/team/_/id/259/virginia-tech-hokies,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/259.gif
Wake Forest,WAKE,Demon Deacons,http://espn.go.com/college-football/team/_/id/154/wake-forest-demon-deacons,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/154.gif
Washington,WASH,Huskies,http://espn.go.com/college-football/team/_/id/264/washington-huskies,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/264.gif
Washington State,WSST,Cougars,http://espn.go.com/college-football/team/_/id/265/washington-state-cougars,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/265.gif
West Virginia,WVU,Mountaineers,http://espn.go.com/college-football/team/_/id/277/west-virginia-mountaineers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/277.gif
Western Kentucky,WKU,Hilltoppers,http://espn.go.com/college-football/team/_/id/98/western-kentucky-hilltoppers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/98.gif
Western Michigan,WMIC,Broncos,http://espn.go.com/college-football/team/_/id/2711/western-michigan-broncos,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2711.gif
Wisconsin,WISC,Badgers,http://espn.go.com/college-football/team/_/id/275/wisconsin-badgers,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/275.gif
Wyoming,WYO,Cowboys,http://espn.go.com/college-football/team/_/id/2751/wyoming-cowboys,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2751.gif
